Timestamp,Voltaje Fuente (µV),Voltaje Medido (µV),Canal,Voltaje OPC Canal (µV)
16-13:00:29.078,2499917.857729588,2501272.1999999997,9,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,10,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,11,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,12,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,13,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,14,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,15,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,16,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,17,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,18,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,19,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,20,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,21,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,22,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,23,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,24,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,25,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,26,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,27,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,28,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,29,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,30,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,31,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,32,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,33,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,34,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,35,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,36,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,37,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,38,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,39,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,40,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,41,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,42,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,43,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,44,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,45,2500000000000.0
16-13:00:29.078,2499917.857729588,2501272.1999999997,46,2500000000000.0
